name,free and open source,active,software license
airdc++,X,X,gnu gpl
airdc++ nano,X,X,gnu gpl
apexdc++,X,X,gnu gpl
dc++,X,X,gnu gpl
jucy,X,X,bsd
linuxdc++,X,X,gnu gpl
eiskaltdc++,X,X,gnu gpl
flylinkdc++,X,X,gnu gpl
rsx++,X,,gnu gpl
tkdc++,X,,gnu gpl
strongdc++,X,,gnu gpl
revconnect,X,,gnu gpl
ncdc,X,X,mit
