name,movement,targeting,fighting,code license,code java
Geomancy,wave surfing,guessfactor targeting,*,*,
GFTargetingBot,random movement;orbital movement,guessfactor targeting,one on one,public domain,
Gilgalad,gilgalads movement,gilgalads targeting,*,freebsd,X
Giskard,circular movement,dynamic clustering,*,*,
GITS,*,*,one on one;melee,*,
Glacier,minimum risk movement,dynamic clustering;play it forward,one on one;melee,zlib,X
Gladiator,wave surfing;minimum risk movement,circular targeting;linear targeting;random targeting;guessfactor targeting;pattern matching;lateral velocity;tidalwave targeting,*,*,X
Gladius,statistical aom,guessfactor targeting,one on one;melee,rwlpcl,X
Gouldingi,random movement,angular targeting;averaged bearing offset targeting,one on one,open source,
GravityWave,wave surfing,*,one on one;melee,*,
GreatWolf,wave surfing,guessfactor targeting,*,bsd,X
GresSuffurd,wave surfing,guessfactor targeting,*,rwpcl,X
GridFu,wave surfing,guessfactor targeting,*,*,
Griezel,minimum risk movement,circular targeting,one on one;melee,rwpcl,X
Grimmig,wave surfing,guessfactor targeting,*,rwpcl,
Grinnik,stop and go;oscillator movement,guessfactor targeting,*,rwpcl,X
GrubbmGrb,stop and go;oscillator movement,virtual guns,one on one,rwpcl,X
Gruwel,oscillator movement,circular targeting,*,rwpcl,X
Gruweltje,oscillator movement,circular targeting,one on one;melee,rwpcl,X
GuinnessCS,wave surfing,guessfactor targeting,*,public domain,
Hamilton,*,*,*,*,X
HawkOnFire,minimum risk movement,head on targeting,one on one;melee,open source,
Hebe,ocnirpsng movement,circular targeting,*,*,X
HedgehogGF,stop and go;random movement,*,*,*,
HedgehogP,*,*,*,*,
Help,*,*,*,*,
Hikari,wave surfing,guessfactor targeting,*,*,X
Holden,wave surfing,neural targeting;gaffs targeting,one on one,closed,
Horizon,wave surfing,guessfactor targeting;dynamic clustering,*,open source,X
Hubris,*,*,*,*,
Hurricane,minimum risk movement,dynamic clustering,melee,closed,
HVilela,anti gravity movement,circular targeting,one on one;melee,closed,
Hydra,wave surfing,dynamic clustering;guessfactor targeting,*,rwpcl,X
Hyperion,random movement,guessfactor targeting,one on one,closed,
Ice,*,*,*,*,X
Impact,ramming movement,linear targeting,one on one;melee,open source,
Infinity,anti gravity movement,linear targeting,one on one;melee,open source,X
Insomnia,corner movement,corner targeting,melee,open source,
IWillFireNoBullet,exact path predictor,*,*,open source,
Jen,stop and go;random movement,guessfactor targeting,*,rwpcl,X
Kirbyi,mosquito;random movement,symbolic pattern matching,one on one,rwpcl,
Kitten,random movement,symbolic pattern matching,one on one,rwpcl,X
Knight,wave surfing,guessfactor targeting;dynamic clustering,*,closed,
Komarious,wave surfing,guessfactor targeting,one on one,rwpcl,X
KomariousTeam,wave surfing,guessfactor targeting,one on one,rwpcl,X
Krabby,multi mode;perpendicular,head on targeting;linear targeting;circular targeting;random targeting,one on one,*,
Krabby2,true surfing,guessfactor targeting;circular targeting,one on one,rwpcl,X
Lacrimas,random movement;wave surfing,statistical targeting,one on one,rwpcl,X
LambdaBot,wave surfing,guessfactor targeting,one on one,rwpcl,X
LemonDrop,random movement;stop and go,pattern matching,one on one,rwlpcl,X
Leon,reinforcement learning,neural targeting,melee,*,
Leopard,ramming movement,pattern matching,one on one,rwlpcl,
Lib,corner movement;pattern movement,head on targeting,one on one;melee,qkpl,X
LightningBug,wave surfing,guessfactor,one on one,rwlpcl,
LightningStorm,random movement,pattern matching,*,rwlpcl,X
LittleBlackBook,stop and go;ramming movement;random movement,guessfactor,one on one,rwlpcl,X
Locke,random movement,self organizing observation log,one on one,rwlpcl,X
Lukious,wave surfing,dynamic clustering;guessfactor targeting,one on one,rwlpcl,
LuminariousDuo,minimum risk movement,guessfactor targeting,melee,rwlpcl,X
LunarTwins,aggressive movement,circular targeting,teams,rwpcl,X
Lynx,wave surfing;wall smoothing,dynamic clustering,*,rwpcl,X
Machete,stop and go;ramming movement,linear targeting,*,open source,
MagicD2,wall smoothing;random movement,linear targeting,one on one,*,
MagicD3,magictrick;bullet dodging;random bullet dodging,dynamic clustering,one on one,rwpcl,X
Mako,random movement,angular targeting;averaged bearing offset targeting,one on one,*,
ManuelGallegus,wall smoothing,wave targeting,one on one,rwlpcl,
Marshmallow,random movement,virtual guns;statistical targeting,one on one,rwlpcl,X
MaxRisk,maximum risk movement;ramming movement,circular targeting,one on one,rwlpcl,X
Mercutio,anti gravity movement,linear targeting,melee;one on one,rwpcl,X
MicroBoss,stop and go;random movement,linear targeting,one on one,rwlpcl,
Midboss,wave surfing,anti aliased;interpolated;visit count stats;guessfactor targeting,one on one,rwlpcl,X
Mint,wave surfing,dynamic clustering,*,zlib,
Moebius,stop and go,pattern matching,one on one,rwlpcl,
Mosquito,one way,linear targeting,one on one,closed,X
MoxieBot,random movement,*,one on one,rwlpcl,X
Musashi,random movement,pattern matching,melee;one on one,rwlpcl,X
N,stop and go,angular targeting,one on one,rwpcl,X
NanoBee,wave surfing,head on targeting;linear targeting,one on one,open source,X
Nene,wave surfing,dynamic clustering,one on one,zlib,X
Neuromancer,wave surfing;go to,dynamic clustering,melee,rwlpcl,
Newton,wave surfing,guessfactor targeting;visit count stats,one on one,rwlpcl,X
NightAndDay,minimum risk movement,guessfactor targeting,one on one;teams,open source,X
NightBird,random movement,linear targeting,one on one,open source,
NightBirdM,random movement;stop and go,linear targeting,one on one,rwpcl,X
NP,statistical bullet dodging,guessfactor targeting,*,rwpcl,X
Numbat,minimum risk movement;anti gravity movement;oscillator movement,pattern matching;singletick,melee,rwpcl,X
Ocnirp,random movement,pattern matching,one on one,rwlpcl,X
OcnirpSNG,random movement;stop and go,pattern matching,*,rwlpcl,X
OlympusTwins,random movement,circular targeting,one on one,rwlpcl,
Omen,random movement,linear targeting,melee;one on one,rwpcl,X
OMT_HO,musashi trick,head on targeting;circular targeting,one on one,open source,
Opposite,fluid movement,linear targeting,one on one;melee,open source,X
Pallas,wave surfing,dynamic clustering;play it forward,*,nprl,
Pear,wave surfing,guessfactor targeting,one on one,rwpcl,X
PencilRain,circular movement,head on targeting,one on one,*,
Phantom,wave surfing,*,one on one;melee,*,
Phoenix,wave surfing;minimum risk movement,guessfactor targeting;anti surfer targeting,one on one,*,
Piyane,wave surfing,linear targeting,*,open source,X
PluggableRobot,*,*,*,rwlpcl,X
Portia,minimum risk movement;wave surfing,semi circular targeting;guessfactor targeting;dynamic clustering,one on one;melee,*,X
PrairieWolf,multi mode,circular targeting,one on one;melee,*,X
Prestige,random movement,pattern matching,one on one,rwlpcl,
PricklyPear,wave surfing,guessfactor targeting,one on one,rwpcl,X
Prime,wave surfing,dynamic clustering,*,*,
Pris,wave surfing,neural targeting,one on one;melee,*,
Pugilist,wave surfing,guessfactor targeting,one on one,rwpcl,X
Pugio,adapting oscillator movement,symbolic pattern matching,one on one,rwlpcl,X
PulsarMax,wave surfing,guessfactor targeting,one on one;melee,closed,
PureAggression,*,*,one on one,*,
PwnBot,random movement,linear targeting,one on one;melee,rwpcl,X
Pytko,musashi trick,pattern matching,one on one,rwlpcl,X
RabidWombat,anti gravity movement,head on targeting;linear targeting;circular targeting;guessfactor targeting,one on one,*,
Rage,wave surfing;dodging bullets,*,one on one,rwpcl,
Raiko,random movement,guessfactor targeting,one on one,rwpcl,X
RaikoMicro,random movement;adaptive movement;wall smoothing,guessfactor targeting,one on one,rwpcl,X
RaikoMX,wave surfing,guessfactor targeting,one on one,rwpcl,X
RandomMovementBot,orbital random movement,*,one on one,rwpcl,X
Rechner,wave surfing;true serving,guessfactor targeting;dynamic clustering,one on one,*,X
RetroGirl,random movement;wall smoothing,dynamic clustering;guessfactor targeting,one on one,zlib,X
Roborio,wave surfing,dynamic clustering;guessfactor targeting;anti surfer targeting,one on one,*,
Robovirus,wave surfing;minimum risk movement;linear movement,guessfactor targeting,one on one;melee,*,
Roskilde,*,*,one on one,*,
RougeDC,wave surfing,dynamic clustering;pattern matching;guessfactor targeting;crowd targeting,one on one,rwpcl,X
Sabreur,multi mode,linear targeting,one on one,rwpcl,X
Samekh,wave surfing,dynamic clustering,one on one,nprl,X
SandboxDT,flat movement,guessfactor targeting,one on one;melee,*,
Sanguijuela,*,*,one on one,rwpcl,
SavantMicro,*,*,one on one,rwpcl,
SavantWS,wave surfing,*,one on one,rwpcl,
Scalar,*,*,one on one,*,
ScaledBot,*,*,one on one,*,
Scarlet,wave surfing,dynamic clustering,melee,*,
Scytodes,stop and go,symbolic pattern matching,one on one,rwpcl,
SecondBot,randomwaves,random guessfactor targeting,one on one,proprietary,
Seraphim,wave surfing,guessfactor targeting,one on one,zlib,X
Shaakious,wave surfing,pattern matching,one on one;melee,rwpcl,X
Shadow,wave surfing;minimum risk movement,dynamic clustering;play it forward,one on one;melee,proprietary,
ShieldBot,stationary,fire at enemys bullet,one on one,*,
Shiz,minimum risk movement,head on targeting,one on one;melee,kpl,X
ShocknAwe,oscillator movement;circular movement,guessfactor targeting,teams,*,
SilverSurfer,wave surfing,vectorial pattern matching,one on one,rwpcl,X
SimpleBot,wave surfing,guessfactor targeting,one on one,gpl,
SimpleGF,random movement;wall smoothing,guessfactor targeting,one on one,public domain,X
Simpler,wave surfing,linear circular targeting,one on one,nprl,
SittingDuck,*,*,one on one;melee,eclipse public license,X
