   ,-1311716847,-360156252,1908294656,701393941,1587531484,-1413725976,1687390640,626520323,-1809858094,1934385537,992810313,-703084976,-1024003606,-1395296090,-734885162,-2068645975,1251440027,2540897,-1159715915,962569556,-1350361934,-1566324866,-1340345998,48667973,1215192959,768510773,93619035,243280265,1061187016,1518625385,-1732467653,1664703744,-596190747,-223614639,-1099597977,-712961244,70476792,-345070504,-1530007106,-18878135,-468044533,751140191,-332383209,1832763060,-1610200074,929510825,1081594492,-1804167618,659026821,-1359956295,-916350379,-1112353046,1759305767,559045705,308933429,1967638679,-119841179,1372043323,400755191,1344714700,-2022440229,2104459291,-779225837,-446397479,315536271,1439882667,-642336949,851619773,1904762604,-575880068
00001/,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,
00002/,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
