name,JHipsterRegister,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,Generate,Compile,Log.Compile,Build,protractor,cucumber,gatling,Log.Gen,Bug
162,jhipster81,,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
163,jhipster82,X,microservice,jwt,no,no,no,sql,mysql,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
164,jhipster82,,microservice,jwt,no,no,no,sql,mysql,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
165,jhipster83,X,monolith,session,ehcache,no,spring-websocket,sql,InMemory,postgresql,gradle,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
166,jhipster83,,monolith,session,ehcache,no,spring-websocket,sql,InMemory,postgresql,gradle,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
167,jhipster84,X,monolith,jwt,ehcache,no,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
168,jhipster84,,monolith,jwt,ehcache,no,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
169,jhipster85,X,gateway,jwt,ehcache,no,spring-websocket,sql,DiskBased,mariadb,gradle,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
170,jhipster85,,gateway,jwt,ehcache,no,spring-websocket,sql,DiskBased,mariadb,gradle,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
171,jhipster86,X,monolith,session,hazelcast,no,no,sql,DiskBased,mysql,gradle,elasticsearch,,,X,OK,KO,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,ISSUE:env
