name,JHipsterRegister,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,Generate,Compile,Log.Compile,Build,protractor,cucumber,gatling,Log.Gen,Bug
84,jhipster42,,monolith,jwt,ehcache,no,no,sql,InMemory,mysql,maven,elasticsearch,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
85,jhipster43,X,gateway,uaa,no,hazelcast,no,cassandra,cassandra,cassandra,maven,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
86,jhipster43,,gateway,uaa,no,hazelcast,no,cassandra,cassandra,cassandra,maven,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
87,jhipster44,X,microservice,uaa,hazelcast,no,no,sql,InMemory,mariadb,maven,no,,,X,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
88,jhipster44,,microservice,uaa,hazelcast,no,no,sql,InMemory,mariadb,maven,no,,,X,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
89,jhipster45,X,monolith,jwt,no,hazelcast,no,sql,mysql,mysql,maven,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
90,jhipster45,,monolith,jwt,no,hazelcast,no,sql,mysql,mysql,maven,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
91,jhipster46,X,monolith,session,ehcache,hazelcast,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
92,jhipster46,,monolith,session,ehcache,hazelcast,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
93,jhipster47,X,microservice,uaa,hazelcast,no,no,sql,mysql,mysql,gradle,elasticsearch,,,X,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
