name,JHipsterRegister,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,Generate,Log.Generate,Compile,Build,protractor,cucumber,gatling,Log.Gen,Bug
1176,jhipster588,,gateway,uaa,hazelcast,hazelcast,no,sql,InMemory,postgresql,gradle,elasticsearch,,X,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
1177,jhipster589,X,monolith,jwt,hazelcast,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,no,,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1178,jhipster589,,monolith,jwt,hazelcast,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,no,,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1179,jhipster590,X,gateway,jwt,hazelcast,hazelcast,no,sql,InMemory,mariadb,gradle,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
1180,jhipster590,,gateway,jwt,hazelcast,hazelcast,no,sql,InMemory,mariadb,gradle,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
1181,jhipster591,X,monolith,jwt,ehcache,hazelcast,no,sql,DiskBased,mariadb,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1182,jhipster591,,monolith,jwt,ehcache,hazelcast,no,sql,DiskBased,mariadb,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1183,jhipster592,X,monolith,jwt,no,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,no,X,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1184,jhipster592,,monolith,jwt,no,hazelcast,spring-websocket,sql,DiskBased,postgresql,gradle,no,X,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1185,jhipster593,X,monolith,oauth2,no,hazelcast,spring-websocket,sql,postgresql,postgresql,gradle,elasticsearch,,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1186,jhipster593,,monolith,oauth2,no,hazelcast,spring-websocket,sql,postgresql,postgresql,gradle,elasticsearch,,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1187,jhipster594,X,gateway,jwt,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,elasticsearch,,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1188,jhipster594,,gateway,jwt,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,elasticsearch,,,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1189,jhipster595,X,monolith,jwt,hazelcast,no,no,sql,DiskBased,mysql,gradle,elasticsearch,X,X,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1190,jhipster595,,monolith,jwt,hazelcast,no,no,sql,DiskBased,mysql,gradle,elasticsearch,X,X,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1191,jhipster596,X,monolith,oauth2,no,no,spring-websocket,sql,InMemory,postgresql,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1192,jhipster596,,monolith,oauth2,no,no,spring-websocket,sql,InMemory,postgresql,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1193,jhipster597,X,uaa,uaa,no,no,no,sql,InMemory,mysql,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1194,jhipster597,,uaa,uaa,no,no,no,sql,InMemory,mysql,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1195,jhipster598,X,monolith,session,no,hazelcast,no,sql,InMemory,mysql,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1196,jhipster598,,monolith,session,no,hazelcast,no,sql,InMemory,mysql,maven,elasticsearch,,,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1197,jhipster599,X,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,postgresql,maven,no,,X,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1198,jhipster599,,monolith,jwt,hazelcast,no,spring-websocket,sql,InMemory,postgresql,maven,no,,X,X,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
1199,jhipster600,X,monolith,oauth2,hazelcast,no,no,sql,InMemory,mariadb,gradle,no,,X,,OK,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,OK,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
